# D_lambda, wavelength
7.669352701508813880e+03,4.320000000000000000e+02
7.775778998202919865e+03,4.870000000000000000e+02
7.866457658760373306e+03,5.215000000000000000e+02
7.964269621499320237e+03,5.560000000000000000e+02
7.984144987406738437e+03,5.635000000000000000e+02
8.037199947486750716e+03,5.884000000000000909e+02
8.091936029581025650e+03,6.140000000000000000e+02
8.140395525288889985e+03,6.390000000000000000e+02
8.205057861624065481e+03,6.646000000000000227e+02
8.210983068186462333e+03,6.895000000000000000e+02
8.246328547825920396e+03,7.150000000000000000e+02
8.282943383195795832e+03,7.400000000000000000e+02
8.311205549248246825e+03,7.650000000000000000e+02
8.336953629000887304e+03,7.905000000000000000e+02
8.357824625113364164e+03,8.160000000000000000e+02
8.388069434655088116e+03,8.413000000000000682e+02
8.418636393438317100e+03,8.660000000000000000e+02
8.439096398748513820e+03,8.915999999999999091e+02
8.444387513392714027e+03,9.170000000000000000e+02
8.453316097001063099e+03,9.423999999999999773e+02
8.475669233879878448e+03,9.673000000000000682e+02
8.473133620393480669e+03,9.927000000000000455e+02
8.497946710142256052e+03,1.018000000000000000e+03
8.515188545310747941e+03,1.060000000000000000e+03
8.544171674779943714e+03,1.098000000000000000e+03
8.548755043057521107e+03,1.138000000000000000e+03
8.567348955157205637e+03,1.179000000000000000e+03
8.581029606313128170e+03,1.222000000000000000e+03
8.611593365036807882e+03,1.266000000000000000e+03
8.617952034250198267e+03,1.312000000000000000e+03
8.643043373510183301e+03,1.358000000000000000e+03
8.661689607343038006e+03,1.408000000000000000e+03
8.688822714944977633e+03,1.459000000000000000e+03
8.716200724368516603e+03,1.512000000000000000e+03
8.739945406536886367e+03,1.566000000000000000e+03
8.762999646892199962e+03,1.623000000000000000e+03
8.763150813144937274e+03,1.682000000000000000e+03
8.783138701230152947e+03,1.743000000000000000e+03
