# epsilon_R, wavelength
1.058399073150316116e+00,4.320000000000000000e+02
1.056646168200296776e+00,4.870000000000000000e+02
1.055530715046105739e+00,5.215000000000000000e+02
1.054419660906902312e+00,5.560000000000000000e+02
1.054179776818747083e+00,5.635000000000000000e+02
1.053389537538172771e+00,5.884000000000000909e+02
1.052589202935127588e+00,6.140000000000000000e+02
1.051821830084578524e+00,6.390000000000000000e+02
1.051052468287582586e+00,6.646000000000000227e+02
1.050321459652864498e+00,6.895000000000000000e+02
1.049591558192146001e+00,7.150000000000000000e+02
1.048895043123627469e+00,7.400000000000000000e+02
1.048217833500636909e+00,7.650000000000000000e+02
1.047547179823207220e+00,7.905000000000000000e+02
1.046896856942828080e+00,8.160000000000000000e+02
1.046271610268715513e+00,8.413000000000000682e+02
1.045680163008162689e+00,8.660000000000000000e+02
1.045086619617969337e+00,8.915999999999999091e+02
1.044516883355323111e+00,9.170000000000000000e+02
1.043965783086723720e+00,9.423999999999999773e+02
1.043443139589473878e+00,9.673000000000000682e+02
1.042927444012778704e+00,9.927000000000000455e+02
1.042430751642485109e+00,1.018000000000000000e+03
1.041642115976178840e+00,1.060000000000000000e+03
1.040965383081951634e+00,1.098000000000000000e+03
1.040288676113391375e+00,1.138000000000000000e+03
1.039630809796256772e+00,1.179000000000000000e+03
1.038977362617320876e+00,1.222000000000000000e+03
1.038344929565633956e+00,1.266000000000000000e+03
1.037720276625333726e+00,1.312000000000000000e+03
1.037130381301847093e+00,1.358000000000000000e+03
1.036525769298993316e+00,1.408000000000000000e+03
1.035945397576384153e+00,1.459000000000000000e+03
1.035378135050294857e+00,1.512000000000000000e+03
1.034834809791648658e+00,1.566000000000000000e+03
1.034296169764174600e+00,1.623000000000000000e+03
1.033773237984022542e+00,1.682000000000000000e+03
1.033266466319247900e+00,1.743000000000000000e+03
