# D_lambda, wavelength
5.535560400634853977e+03,4.320000000000000000e+02
5.718370575257258679e+03,4.870000000000000000e+02
5.908587225028627472e+03,5.215000000000000000e+02
6.075777466039488900e+03,5.560000000000000000e+02
6.111626474696096921e+03,5.635000000000000000e+02
6.207201826923358567e+03,5.884000000000000909e+02
6.316808214413050337e+03,6.140000000000000000e+02
6.409849385029975565e+03,6.390000000000000000e+02
6.522947027261083349e+03,6.646000000000000227e+02
6.560790387421744526e+03,6.895000000000000000e+02
6.636504227241935041e+03,7.150000000000000000e+02
6.710019282665569335e+03,7.400000000000000000e+02
6.769238929843379992e+03,7.650000000000000000e+02
6.823886738195672478e+03,7.905000000000000000e+02
6.871110062305896463e+03,8.160000000000000000e+02
6.935293588149927018e+03,8.413000000000000682e+02
6.995772137554756227e+03,8.660000000000000000e+02
7.037372417361909356e+03,8.915999999999999091e+02
7.057568781830947046e+03,9.170000000000000000e+02
7.084029031081850917e+03,9.423999999999999773e+02
7.125800830169559958e+03,9.673000000000000682e+02
7.128584169763918908e+03,9.927000000000000455e+02
7.173130398543947194e+03,1.018000000000000000e+03
7.216989723194400540e+03,1.060000000000000000e+03
7.267278393459752806e+03,1.098000000000000000e+03
7.285331749290801781e+03,1.138000000000000000e+03
7.319783618971231590e+03,1.179000000000000000e+03
7.344471046858980117e+03,1.222000000000000000e+03
7.392807543055379938e+03,1.266000000000000000e+03
7.411341450348163562e+03,1.312000000000000000e+03
7.454166052993094127e+03,1.358000000000000000e+03
7.492403809047032155e+03,1.408000000000000000e+03
7.539482216384340973e+03,1.459000000000000000e+03
7.595135670008467969e+03,1.512000000000000000e+03
7.647318566494031984e+03,1.566000000000000000e+03
7.699884420131253137e+03,1.623000000000000000e+03
7.702536911825764037e+03,1.682000000000000000e+03
7.755270264670488359e+03,1.743000000000000000e+03
