# D_lambda, wavelength
5.468692091965321197e+03,4.320000000000000000e+02
5.680558859912254775e+03,4.870000000000000000e+02
5.884596133258645750e+03,5.215000000000000000e+02
6.063827426884382476e+03,5.560000000000000000e+02
6.101978710801203306e+03,5.635000000000000000e+02
6.203979485266409029e+03,5.884000000000000909e+02
6.319391467077828565e+03,6.140000000000000000e+02
6.417289693977701063e+03,6.390000000000000000e+02
6.535490371800345201e+03,6.646000000000000227e+02
6.575280751145329305e+03,6.895000000000000000e+02
6.654000844473539473e+03,7.150000000000000000e+02
6.730226955561358409e+03,7.400000000000000000e+02
6.791532066115712951e+03,7.650000000000000000e+02
6.848010214372091468e+03,7.905000000000000000e+02
6.896703299781203896e+03,8.160000000000000000e+02
6.962548660143896996e+03,8.413000000000000682e+02
7.024610108970486181e+03,8.660000000000000000e+02
7.067210003022239107e+03,8.915999999999999091e+02
7.087735367651836896e+03,9.170000000000000000e+02
7.114624131201563614e+03,9.423999999999999773e+02
7.157290235975888208e+03,9.673000000000000682e+02
7.159925020631229927e+03,9.927000000000000455e+02
7.205307592479281993e+03,1.018000000000000000e+03
7.249692782153260850e+03,1.060000000000000000e+03
7.300749530622540988e+03,1.098000000000000000e+03
7.318671026379730392e+03,1.138000000000000000e+03
7.353418942123046691e+03,1.179000000000000000e+03
7.378359845840010166e+03,1.222000000000000000e+03
7.427318163376051416e+03,1.266000000000000000e+03
7.445560887568647559e+03,1.312000000000000000e+03
7.489025055191445063e+03,1.358000000000000000e+03
7.526887471286380787e+03,1.408000000000000000e+03
7.574729809044943977e+03,1.459000000000000000e+03
7.630339920577044722e+03,1.512000000000000000e+03
7.683274876371215214e+03,1.566000000000000000e+03
7.735338133444069172e+03,1.623000000000000000e+03
7.737245882977083966e+03,1.682000000000000000e+03
7.790888384892391514e+03,1.743000000000000000e+03
