# D_lambda, wavelength
5.927930562638516676e+03,4.320000000000000000e+02
6.075431479879101062e+03,4.870000000000000000e+02
6.251403884188322081e+03,5.215000000000000000e+02
6.405593004798371112e+03,5.560000000000000000e+02
6.438823966761319753e+03,5.635000000000000000e+02
6.525198870490633453e+03,5.884000000000000909e+02
6.626680273391638366e+03,6.140000000000000000e+02
6.711995098702239375e+03,6.390000000000000000e+02
6.818707436160864745e+03,6.646000000000000227e+02
6.847846086142306376e+03,6.895000000000000000e+02
6.916901501594074944e+03,7.150000000000000000e+02
6.984438043825869499e+03,7.400000000000000000e+02
7.037649976093795885e+03,7.650000000000000000e+02
7.086462328017239997e+03,7.905000000000000000e+02
7.128041396360029466e+03,8.160000000000000000e+02
7.187595001404311915e+03,8.413000000000000682e+02
7.243848329471891702e+03,8.660000000000000000e+02
7.280732095958474929e+03,8.915999999999999091e+02
7.295910950531947492e+03,9.170000000000000000e+02
7.317857578130637194e+03,9.423999999999999773e+02
7.355990454529282033e+03,9.673000000000000682e+02
7.354154859230965485e+03,9.927000000000000455e+02
7.395561584324305841e+03,1.018000000000000000e+03
7.433748451989963542e+03,1.060000000000000000e+03
7.479721748632761773e+03,1.098000000000000000e+03
7.492683661563303758e+03,1.138000000000000000e+03
7.522793677741335159e+03,1.179000000000000000e+03
7.543039982346066608e+03,1.222000000000000000e+03
7.587776064526207847e+03,1.266000000000000000e+03
7.602104546685972309e+03,1.312000000000000000e+03
7.641647925622496587e+03,1.358000000000000000e+03
7.676404442229944834e+03,1.408000000000000000e+03
7.720447644803618459e+03,1.459000000000000000e+03
7.773333570820439490e+03,1.512000000000000000e+03
7.822911827667367106e+03,1.566000000000000000e+03
7.872777936288155615e+03,1.623000000000000000e+03
7.872099974437829587e+03,1.682000000000000000e+03
7.922369888205383177e+03,1.743000000000000000e+03
