# D_lambda, wavelength
7.924841110068748094e+03,4.320000000000000000e+02
7.955464376076415647e+03,4.870000000000000000e+02
7.941378916195396414e+03,5.215000000000000000e+02
7.937479588266071914e+03,5.560000000000000000e+02
7.935756354788603858e+03,5.635000000000000000e+02
7.933552511989460982e+03,5.884000000000000909e+02
7.924788272641425465e+03,6.140000000000000000e+02
7.918870233080688195e+03,6.390000000000000000e+02
7.910552362085710229e+03,6.646000000000000227e+02
7.907294987690937887e+03,6.895000000000000000e+02
7.900261857456846883e+03,7.150000000000000000e+02
7.893663359464287169e+03,7.400000000000000000e+02
7.888658036133367204e+03,7.650000000000000000e+02
7.884465583460231755e+03,7.905000000000000000e+02
7.880810928405646337e+03,8.160000000000000000e+02
7.873132740094046312e+03,8.413000000000000682e+02
7.866701445374491414e+03,8.660000000000000000e+02
7.863243633050132303e+03,8.915999999999999091e+02
7.862515208600817459e+03,9.170000000000000000e+02
7.859692660263650396e+03,9.423999999999999773e+02
7.856032217150810538e+03,9.673000000000000682e+02
7.858797910309301187e+03,9.927000000000000455e+02
7.855095859034766363e+03,1.018000000000000000e+03
7.849433952092143954e+03,1.060000000000000000e+03
7.846245520419237437e+03,1.098000000000000000e+03
7.845131085211564823e+03,1.138000000000000000e+03
7.843590590619675822e+03,1.179000000000000000e+03
7.842731215360055103e+03,1.222000000000000000e+03
7.840323532623649953e+03,1.266000000000000000e+03
7.839066347688050882e+03,1.312000000000000000e+03
7.834006658022140982e+03,1.358000000000000000e+03
7.829273594406326993e+03,1.408000000000000000e+03
7.824776187197568106e+03,1.459000000000000000e+03
7.811583893694407379e+03,1.512000000000000000e+03
7.803007534136319009e+03,1.566000000000000000e+03
7.796794073864021811e+03,1.623000000000000000e+03
7.799362149885080726e+03,1.682000000000000000e+03
7.786792721400704067e+03,1.743000000000000000e+03
