# D_lambda, wavelength
6.875542768386533680e+03,4.320000000000000000e+02
7.092714235591657598e+03,4.870000000000000000e+02
7.238845561617579733e+03,5.215000000000000000e+02
7.383425309847923927e+03,5.560000000000000000e+02
7.412588066040615558e+03,5.635000000000000000e+02
7.494015000791609964e+03,5.884000000000000909e+02
7.575190341002069545e+03,6.140000000000000000e+02
7.646823342126518583e+03,6.390000000000000000e+02
7.733218018122101057e+03,6.646000000000000227e+02
7.757484109682799499e+03,6.895000000000000000e+02
7.810467104644946630e+03,7.150000000000000000e+02
7.862906042194528709e+03,7.400000000000000000e+02
7.905520176310187708e+03,7.650000000000000000e+02
7.944736600029478723e+03,7.905000000000000000e+02
7.977996495437511840e+03,8.160000000000000000e+02
8.019775450840649683e+03,8.413000000000000682e+02
8.060860189346596599e+03,8.660000000000000000e+02
8.091131918697480614e+03,8.915999999999999091e+02
8.105253438525305683e+03,9.170000000000000000e+02
8.122523200959519272e+03,9.423999999999999773e+02
8.152753368878107722e+03,9.673000000000000682e+02
8.157241723906194238e+03,9.927000000000000455e+02
8.189122600908538516e+03,1.018000000000000000e+03
8.216898540485573903e+03,1.060000000000000000e+03
8.254663348387202859e+03,1.098000000000000000e+03
8.267334923071744925e+03,1.138000000000000000e+03
8.293698442195407551e+03,1.179000000000000000e+03
8.314932922516170947e+03,1.222000000000000000e+03
8.352649707353721169e+03,1.266000000000000000e+03
8.365543562731003476e+03,1.312000000000000000e+03
8.397121140011564421e+03,1.358000000000000000e+03
8.421432246595417382e+03,1.408000000000000000e+03
8.454996251376134751e+03,1.459000000000000000e+03
8.487603194824778257e+03,1.512000000000000000e+03
8.517286273806766985e+03,1.566000000000000000e+03
8.544365960394983631e+03,1.623000000000000000e+03
8.548966014767844172e+03,1.682000000000000000e+03
8.574611960242340501e+03,1.743000000000000000e+03
