# D_lambda, wavelength
7.745317640423077137e+03,4.320000000000000000e+02
7.842996164623916229e+03,4.870000000000000000e+02
7.929083971506712260e+03,5.215000000000000000e+02
8.022927649195543381e+03,5.560000000000000000e+02
8.042003256002904891e+03,5.635000000000000000e+02
8.092606390918688703e+03,5.884000000000000909e+02
8.145017607985471841e+03,6.140000000000000000e+02
8.191415887860875955e+03,6.390000000000000000e+02
8.254109151382472191e+03,6.646000000000000227e+02
8.258391795129993625e+03,6.895000000000000000e+02
8.292118202750663841e+03,7.150000000000000000e+02
8.327264706512682096e+03,7.400000000000000000e+02
8.354188330971013784e+03,7.650000000000000000e+02
8.378669795358728152e+03,7.905000000000000000e+02
8.398367480918599540e+03,8.160000000000000000e+02
8.427506023878206179e+03,8.413000000000000682e+02
8.457055662713264610e+03,8.660000000000000000e+02
8.476567659631118659e+03,8.915999999999999091e+02
8.481006573528238732e+03,9.170000000000000000e+02
8.489122650398139740e+03,9.423999999999999773e+02
8.510698012072160054e+03,9.673000000000000682e+02
8.507476704656679431e+03,9.927000000000000455e+02
8.531583771664742017e+03,1.018000000000000000e+03
8.547774233652828116e+03,1.060000000000000000e+03
8.575871341004460191e+03,1.098000000000000000e+03
8.579641812033967653e+03,1.138000000000000000e+03
8.597445906364020630e+03,1.179000000000000000e+03
8.610353876281616976e+03,1.222000000000000000e+03
8.640179254825519820e+03,1.266000000000000000e+03
8.645866036648742011e+03,1.312000000000000000e+03
8.670279837429407053e+03,1.358000000000000000e+03
8.688340173926389980e+03,1.408000000000000000e+03
8.714792199038589388e+03,1.459000000000000000e+03
8.741621759199902954e+03,1.512000000000000000e+03
8.764731639985368020e+03,1.566000000000000000e+03
8.787366991081402375e+03,1.623000000000000000e+03
8.787048623260961904e+03,1.682000000000000000e+03
8.806423127157402632e+03,1.743000000000000000e+03
