# D_lambda, wavelength
5.881876753383363393e+03,4.320000000000000000e+02
6.253655186115091965e+03,4.870000000000000000e+02
6.475737992468255470e+03,5.215000000000000000e+02
6.683790594575911200e+03,5.560000000000000000e+02
6.725483492805328751e+03,5.635000000000000000e+02
6.845295626157099832e+03,5.884000000000000909e+02
6.961862237438554075e+03,6.140000000000000000e+02
7.064347584936569547e+03,6.390000000000000000e+02
7.179228422212746409e+03,6.646000000000000227e+02
7.228066411087530469e+03,6.895000000000000000e+02
7.304087602034603151e+03,7.150000000000000000e+02
7.377020648872357015e+03,7.400000000000000000e+02
7.438185738723790564e+03,7.650000000000000000e+02
7.494701658241287078e+03,7.905000000000000000e+02
7.543794237996336960e+03,8.160000000000000000e+02
7.600124769108540931e+03,8.413000000000000682e+02
7.654377584777494121e+03,8.660000000000000000e+02
7.696980059195057947e+03,8.915999999999999091e+02
7.722244055083038802e+03,9.170000000000000000e+02
7.749938664312061519e+03,9.423999999999999773e+02
7.789861131735297931e+03,9.673000000000000682e+02
7.803134944715184247e+03,9.927000000000000455e+02
7.843611429262708953e+03,1.018000000000000000e+03
7.884246452324106031e+03,1.060000000000000000e+03
7.932600159136771254e+03,1.098000000000000000e+03
7.955097071250527733e+03,1.138000000000000000e+03
7.990773735238821246e+03,1.179000000000000000e+03
8.021008902201365345e+03,1.222000000000000000e+03
8.067154375315910329e+03,1.266000000000000000e+03
8.087806446980483088e+03,1.312000000000000000e+03
8.126934077557601995e+03,1.358000000000000000e+03
8.157926733414977207e+03,1.408000000000000000e+03
8.198861685435487743e+03,1.459000000000000000e+03
8.237537894435487033e+03,1.512000000000000000e+03
8.273960503501375570e+03,1.566000000000000000e+03
8.305764597819730625e+03,1.623000000000000000e+03
8.315509200414682709e+03,1.682000000000000000e+03
8.347475284963600643e+03,1.743000000000000000e+03
