# D_lambda, wavelength
7.738635973531416312e+03,4.320000000000000000e+02
7.790459967486840469e+03,4.870000000000000000e+02
7.788269590751961914e+03,5.215000000000000000e+02
7.794256069103333175e+03,5.560000000000000000e+02
7.794527084320268841e+03,5.635000000000000000e+02
7.798412071036043017e+03,5.884000000000000909e+02
7.795515942076724969e+03,6.140000000000000000e+02
7.794728959068853328e+03,6.390000000000000000e+02
7.791274511245726899e+03,6.646000000000000227e+02
7.792203158764721593e+03,6.895000000000000000e+02
7.789213490505763730e+03,7.150000000000000000e+02
7.786260697069114030e+03,7.400000000000000000e+02
7.784583455481941201e+03,7.650000000000000000e+02
7.783514156220583573e+03,7.905000000000000000e+02
7.782743499221256570e+03,8.160000000000000000e+02
7.777820855086603842e+03,8.413000000000000682e+02
7.773876540199787087e+03,8.660000000000000000e+02
7.772757020706233561e+03,8.915999999999999091e+02
7.774140160874742833e+03,9.170000000000000000e+02
7.773336704933964029e+03,9.423999999999999773e+02
7.771559265637551107e+03,9.673000000000000682e+02
7.776003757171245525e+03,9.927000000000000455e+02
7.774002280788949975e+03,1.018000000000000000e+03
7.770940614748589724e+03,1.060000000000000000e+03
7.769880058663747150e+03,1.098000000000000000e+03
7.770778596560945516e+03,1.138000000000000000e+03
7.771147535350575708e+03,1.179000000000000000e+03
7.772111806162773973e+03,1.222000000000000000e+03
7.771465383373810255e+03,1.266000000000000000e+03
7.771865257282573111e+03,1.312000000000000000e+03
7.768389133046560346e+03,1.358000000000000000e+03
7.765250080693286691e+03,1.408000000000000000e+03
7.762247429525914413e+03,1.459000000000000000e+03
7.750577580082018358e+03,1.512000000000000000e+03
7.743382745656779662e+03,1.566000000000000000e+03
7.738519186415104741e+03,1.623000000000000000e+03
7.742206777906380012e+03,1.682000000000000000e+03
7.730982777980233550e+03,1.743000000000000000e+03
