# D_lambda, wavelength
5.836542301211222366e+03,4.320000000000000000e+02
5.996603014588707993e+03,4.870000000000000000e+02
6.178075672279237551e+03,5.215000000000000000e+02
6.337200599771275847e+03,5.560000000000000000e+02
6.371404262169644426e+03,5.635000000000000000e+02
6.460855454659131283e+03,5.884000000000000909e+02
6.565085205462950398e+03,6.140000000000000000e+02
6.652887016408093587e+03,6.390000000000000000e+02
6.761881960022031308e+03,6.646000000000000227e+02
6.793105702369018218e+03,6.895000000000000000e+02
6.864080020902884826e+03,7.150000000000000000e+02
6.933335626274517381e+03,7.400000000000000000e+02
6.988150093498957176e+03,7.650000000000000000e+02
7.038488080002735842e+03,7.905000000000000000e+02
7.081478519470829269e+03,8.160000000000000000e+02
7.142288428023113738e+03,8.413000000000000682e+02
7.199707118699328021e+03,8.660000000000000000e+02
7.237732585580803061e+03,8.915999999999999091e+02
7.253968360573681821e+03,9.170000000000000000e+02
7.276899955986904388e+03,9.423999999999999773e+02
7.315944806142282687e+03,9.673000000000000682e+02
7.314980578965401946e+03,9.927000000000000455e+02
7.357164374954483719e+03,1.018000000000000000e+03
7.396624515186745157e+03,1.060000000000000000e+03
7.443589022813946031e+03,1.098000000000000000e+03
7.457533354325529217e+03,1.138000000000000000e+03
7.488559252648352413e+03,1.179000000000000000e+03
7.509788183556187505e+03,1.222000000000000000e+03
7.555403605279509065e+03,1.266000000000000000e+03
7.570449917241095136e+03,1.312000000000000000e+03
7.610893389171868876e+03,1.358000000000000000e+03
7.646140054997752486e+03,1.408000000000000000e+03
7.691014970806375459e+03,1.459000000000000000e+03
7.744368971293158211e+03,1.512000000000000000e+03
7.794683302438265855e+03,1.566000000000000000e+03
7.845078292463170328e+03,1.623000000000000000e+03
7.844680067007004254e+03,1.682000000000000000e+03
7.895867594269412621e+03,1.743000000000000000e+03
