# D_lambda, wavelength
7.452922824315976868e+03,4.320000000000000000e+02
7.585749995364876668e+03,4.870000000000000000e+02
7.690068483365841530e+03,5.215000000000000000e+02
7.799565222732507209e+03,5.560000000000000000e+02
7.821782401724153715e+03,5.635000000000000000e+02
7.882027710577554899e+03,5.884000000000000909e+02
7.943544036247085387e+03,6.140000000000000000e+02
7.997993426796190761e+03,6.390000000000000000e+02
8.068338900817928334e+03,6.646000000000000227e+02
8.079055360427078995e+03,6.895000000000000000e+02
8.119059932050198768e+03,7.150000000000000000e+02
8.159900172208911499e+03,7.400000000000000000e+02
8.192007832162118575e+03,7.650000000000000000e+02
8.221377430787435515e+03,7.905000000000000000e+02
8.245604720078736136e+03,8.160000000000000000e+02
8.278993908379716231e+03,8.413000000000000682e+02
8.312439795880587553e+03,8.660000000000000000e+02
8.335589833613599694e+03,8.915999999999999091e+02
8.343314789343803568e+03,9.170000000000000000e+02
8.354547881042395602e+03,9.423999999999999773e+02
8.379089569059971836e+03,9.673000000000000682e+02
8.378526128519191843e+03,9.927000000000000455e+02
8.405353933810256422e+03,1.018000000000000000e+03
8.425509692485233245e+03,1.060000000000000000e+03
8.457020024887129694e+03,1.098000000000000000e+03
8.463903497932911705e+03,1.138000000000000000e+03
8.484731075327323197e+03,1.179000000000000000e+03
8.500516754201937147e+03,1.222000000000000000e+03
8.533098236808700676e+03,1.266000000000000000e+03
8.541429949479595962e+03,1.312000000000000000e+03
8.568250588834813243e+03,1.358000000000000000e+03
8.588718796820438001e+03,1.408000000000000000e+03
8.617648093056317521e+03,1.459000000000000000e+03
8.646662080252997839e+03,1.512000000000000000e+03
8.672080669227421822e+03,1.566000000000000000e+03
8.696180393779950464e+03,1.623000000000000000e+03
8.697967747521295678e+03,1.682000000000000000e+03
8.719319831074657486e+03,1.743000000000000000e+03
