# D_lambda, wavelength
8.235750335067516062e+03,4.320000000000000000e+02
8.225248212429758496e+03,4.870000000000000000e+02
8.188205399243253851e+03,5.215000000000000000e+02
8.164791579400754017e+03,5.560000000000000000e+02
8.159186124896744332e+03,5.635000000000000000e+02
8.145507744799052489e+03,5.884000000000000909e+02
8.125786138491908787e+03,6.140000000000000000e+02
8.110379188830951534e+03,6.390000000000000000e+02
8.092689641165829016e+03,6.646000000000000227e+02
8.082818737433661227e+03,6.895000000000000000e+02
8.068656433514065611e+03,7.150000000000000000e+02
8.055567214181546660e+03,7.400000000000000000e+02
8.044832996076723248e+03,7.650000000000000000e+02
8.035312110743264384e+03,7.905000000000000000e+02
8.026815312126122990e+03,8.160000000000000000e+02
8.014364345330760443e+03,8.413000000000000682e+02
8.003562568842270593e+03,8.660000000000000000e+02
7.996232781438683560e+03,8.915999999999999091e+02
7.992272238477537940e+03,9.170000000000000000e+02
7.986296318740704010e+03,9.423999999999999773e+02
7.979425118081140681e+03,9.673000000000000682e+02
7.979749555516391410e+03,9.927000000000000455e+02
7.973062036766842539e+03,1.018000000000000000e+03
7.963338923473450450e+03,1.060000000000000000e+03
7.956513274894993629e+03,1.098000000000000000e+03
7.952408093381935032e+03,1.138000000000000000e+03
7.947788234590746470e+03,1.179000000000000000e+03
7.944068940214931899e+03,1.222000000000000000e+03
7.938710988503960834e+03,1.266000000000000000e+03
7.934914633495826820e+03,1.312000000000000000e+03
7.927292656495054871e+03,1.358000000000000000e+03
7.920086093268329932e+03,1.408000000000000000e+03
7.912982490936637078e+03,1.459000000000000000e+03
7.897372547231773751e+03,1.512000000000000000e+03
7.886373481808761426e+03,1.566000000000000000e+03
7.878549866755402036e+03,1.623000000000000000e+03
7.879239890197120985e+03,1.682000000000000000e+03
7.864580361107376120e+03,1.743000000000000000e+03
