# epsilon_R, wavelength
9.106341828586561604e-01,4.320000000000000000e+02
9.231271639873175339e-01,4.870000000000000000e+02
9.292524005165466727e-01,5.215000000000000000e+02
9.344083028844639705e-01,5.560000000000000000e+02
9.354217712286643227e-01,5.635000000000000000e+02
9.385489575910803683e-01,5.884000000000000909e+02
9.414264706488818524e-01,6.140000000000000000e+02
9.439528494349288534e-01,6.390000000000000000e+02
9.462891361483344310e-01,6.646000000000000227e+02
9.483499703819023852e-01,6.895000000000000000e+02
9.502716539683424557e-01,7.150000000000000000e+02
9.519927295755643559e-01,7.400000000000000000e+02
9.535714782982734894e-01,7.650000000000000000e+02
9.550518717937519497e-01,7.905000000000000000e+02
9.564156115506582401e-01,8.160000000000000000e+02
9.576658241429111262e-01,8.413000000000000682e+02
9.587978335467616242e-01,8.660000000000000000e+02
9.598880757522616491e-01,8.915999999999999091e+02
9.608944878045460047e-01,9.170000000000000000e+02
9.618331114307802077e-01,9.423999999999999773e+02
9.626935758450777536e-01,9.673000000000000682e+02
9.635159494812146619e-01,9.927000000000000455e+02
9.642843932707261256e-01,1.018000000000000000e+03
9.654599182707065408e-01,1.060000000000000000e+03
9.664279691920949489e-01,1.098000000000000000e+03
9.673611200573130064e-01,1.138000000000000000e+03
9.682370746226852676e-01,1.179000000000000000e+03
9.690786205666986897e-01,1.222000000000000000e+03
9.698676828999508448e-01,1.266000000000000000e+03
9.706239353383226964e-01,1.312000000000000000e+03
9.713182046185481200e-01,1.358000000000000000e+03
9.720108149919115537e-01,1.408000000000000000e+03
9.726585206532839534e-01,1.459000000000000000e+03
9.732761926726476442e-01,1.512000000000000000e+03
9.738542082432599667e-01,1.566000000000000000e+03
9.744147186418362638e-01,1.623000000000000000e+03
9.749474866094407499e-01,1.682000000000000000e+03
9.754535382593370052e-01,1.743000000000000000e+03
