# epsilon_R, wavelength
1.041404179479199277e+00,4.320000000000000000e+02
1.041201165374671112e+00,4.870000000000000000e+02
1.041040416289496839e+00,5.215000000000000000e+02
1.040855323082676476e+00,5.560000000000000000e+02
1.040812039911638287e+00,5.635000000000000000e+02
1.040661006477733519e+00,5.884000000000000909e+02
1.040494687407522045e+00,6.140000000000000000e+02
1.040322416196404642e+00,6.390000000000000000e+02
1.040136939122315640e+00,6.646000000000000227e+02
1.039948710024484635e+00,6.895000000000000000e+02
1.039748945245890344e+00,7.150000000000000000e+02
1.039547163053140322e+00,7.400000000000000000e+02
1.039340399652230129e+00,7.650000000000000000e+02
1.039125241701605695e+00,7.905000000000000000e+02
1.038906613815165469e+00,8.160000000000000000e+02
1.038687038275378560e+00,8.413000000000000682e+02
1.038470784505046929e+00,8.660000000000000000e+02
1.038245328620865049e+00,8.915999999999999091e+02
1.038020894041194353e+00,9.170000000000000000e+02
1.037796259333656268e+00,9.423999999999999773e+02
1.037576316971630330e+00,9.673000000000000682e+02
1.037352658029988994e+00,9.927000000000000455e+02
1.037130960737505214e+00,1.018000000000000000e+03
1.036766194571764554e+00,1.060000000000000000e+03
1.036440599323019240e+00,1.098000000000000000e+03
1.036103292229831219e+00,1.138000000000000000e+03
1.035764053831781384e+00,1.179000000000000000e+03
1.035415968935547770e+00,1.222000000000000000e+03
1.035068455597832449e+00,1.266000000000000000e+03
1.034714905703344456e+00,1.312000000000000000e+03
1.034371577119320929e+00,1.358000000000000000e+03
1.034010118916371956e+00,1.408000000000000000e+03
1.033654015851157792e+00,1.459000000000000000e+03
1.033297285891221939e+00,1.512000000000000000e+03
1.032947558285353340e+00,1.566000000000000000e+03
1.032593061931172951e+00,1.623000000000000000e+03
1.032241485071688336e+00,1.682000000000000000e+03
1.031893800502584391e+00,1.743000000000000000e+03
