# D_lambda, wavelength
7.560980397714911305e+03,4.320000000000000000e+02
7.632161312483564870e+03,4.870000000000000000e+02
7.640952555705404848e+03,5.215000000000000000e+02
7.656109645523767540e+03,5.560000000000000000e+02
7.658236802481898849e+03,5.635000000000000000e+02
7.667798577332574496e+03,5.884000000000000909e+02
7.670393465841196303e+03,6.140000000000000000e+02
7.674419889395767314e+03,6.390000000000000000e+02
7.675540311451900379e+03,6.646000000000000227e+02
7.680413679456599311e+03,6.895000000000000000e+02
7.681243748348442750e+03,7.150000000000000000e+02
7.681741523507867896e+03,7.400000000000000000e+02
7.683219269281394190e+03,7.650000000000000000e+02
7.685115212481497110e+03,7.905000000000000000e+02
7.687086795456044456e+03,8.160000000000000000e+02
7.684789100119382056e+03,8.413000000000000682e+02
7.683216746747212710e+03,8.660000000000000000e+02
7.684329303375480777e+03,8.915999999999999091e+02
7.687729728019787217e+03,9.170000000000000000e+02
7.688857782005231456e+03,9.423999999999999773e+02
7.688883618995556390e+03,9.673000000000000682e+02
7.694935953284853895e+03,9.927000000000000455e+02
7.694565991905988085e+03,1.018000000000000000e+03
7.694001594256039425e+03,1.060000000000000000e+03
7.694986795761083158e+03,1.098000000000000000e+03
7.697822252033081895e+03,1.138000000000000000e+03
7.700030421864179516e+03,1.179000000000000000e+03
7.702752846581617632e+03,1.222000000000000000e+03
7.703806212397746094e+03,1.266000000000000000e+03
7.705806554857974334e+03,1.312000000000000000e+03
7.703861721244597902e+03,1.358000000000000000e+03
7.702265194988289295e+03,1.408000000000000000e+03
7.700710132077959315e+03,1.459000000000000000e+03
7.690516776150291662e+03,1.512000000000000000e+03
7.684662273418685800e+03,1.566000000000000000e+03
7.681108964505578115e+03,1.623000000000000000e+03
7.685883016582462005e+03,1.682000000000000000e+03
7.675967149835872078e+03,1.743000000000000000e+03
