# epsilon_R, wavelength
1.101274687159668808e+00,4.320000000000000000e+02
1.098115526062076741e+00,4.870000000000000000e+02
1.096109200147994622e+00,5.215000000000000000e+02
1.094113864576082618e+00,5.560000000000000000e+02
1.093683460692530973e+00,5.635000000000000000e+02
1.092266610334261978e+00,5.884000000000000909e+02
1.090833236565891262e+00,6.140000000000000000e+02
1.089460384020988881e+00,6.390000000000000000e+02
1.088085432995712143e+00,6.646000000000000227e+02
1.086780376221915256e+00,6.895000000000000000e+02
1.085478608581339932e+00,7.150000000000000000e+02
1.084237606128915399e+00,7.400000000000000000e+02
1.083032142516434204e+00,7.650000000000000000e+02
1.081839456612125661e+00,7.905000000000000000e+02
1.080683978227729547e+00,8.160000000000000000e+02
1.079574029432809779e+00,8.413000000000000682e+02
1.078524960339276140e+00,8.660000000000000000e+02
1.077473030741751936e+00,8.915999999999999091e+02
1.076464101242802229e+00,9.170000000000000000e+02
1.075488924944238533e+00,9.423999999999999773e+02
1.074564784888022873e+00,9.673000000000000682e+02
1.073653579975112793e+00,9.927000000000000455e+02
1.072776562229031061e+00,1.018000000000000000e+03
1.071385282776547321e+00,1.060000000000000000e+03
1.070192616759984228e+00,1.098000000000000000e+03
1.069001102228417599e+00,1.138000000000000000e+03
1.067843820011581846e+00,1.179000000000000000e+03
1.066695343419089559e+00,1.222000000000000000e+03
1.065584778415332501e+00,1.266000000000000000e+03
1.064488818422310024e+00,1.312000000000000000e+03
1.063454700315142221e+00,1.358000000000000000e+03
1.062395648199246923e+00,1.408000000000000000e+03
1.061379878723238246e+00,1.459000000000000000e+03
1.060387830976956103e+00,1.512000000000000000e+03
1.059438365763206047e+00,1.566000000000000000e+03
1.058497782868344839e+00,1.623000000000000000e+03
1.057585291134616412e+00,1.682000000000000000e+03
1.056701618861481506e+00,1.743000000000000000e+03
