# epsilon_R, wavelength
9.424410689625101201e-01,4.320000000000000000e+02
9.491642259207326848e-01,4.870000000000000000e+02
9.525809706129444443e-01,5.215000000000000000e+02
9.555247091410047355e-01,5.560000000000000000e+02
9.561110079715291477e-01,5.635000000000000000e+02
9.579366224678703690e-01,5.884000000000000909e+02
9.596391967722485150e-01,6.140000000000000000e+02
9.611526363526804451e-01,6.390000000000000000e+02
9.625682308328689096e-01,6.646000000000000227e+02
9.638301032912838240e-01,6.895000000000000000e+02
9.650182140907170858e-01,7.150000000000000000e+02
9.660919049209862886e-01,7.400000000000000000e+02
9.670849728669177470e-01,7.650000000000000000e+02
9.680234212444502884e-01,7.905000000000000000e+02
9.688942469998352847e-01,8.160000000000000000e+02
9.696980028608777058e-01,8.413000000000000682e+02
9.704303129219737922e-01,8.660000000000000000e+02
9.711397472583521706e-01,8.915999999999999091e+02
9.717982894096011126e-01,9.170000000000000000e+02
9.724156776008803238e-01,9.423999999999999773e+02
9.729844023846949685e-01,9.673000000000000682e+02
9.735304316184609785e-01,9.927000000000000455e+02
9.740428650523152987e-01,1.018000000000000000e+03
9.748309366791944042e-01,1.060000000000000000e+03
9.754837520369403769e-01,1.098000000000000000e+03
9.761163461697691668e-01,1.138000000000000000e+03
9.767131545221405808e-01,1.179000000000000000e+03
9.772892686768280823e-01,1.222000000000000000e+03
9.778319195804230368e-01,1.266000000000000000e+03
9.783542627687974447e-01,1.312000000000000000e+03
9.788357506253461127e-01,1.358000000000000000e+03
9.793179646024643414e-01,1.408000000000000000e+03
9.797706191502031370e-01,1.459000000000000000e+03
9.802038257199842120e-01,1.512000000000000000e+03
9.806105871288297582e-01,1.566000000000000000e+03
9.810062970510123881e-01,1.623000000000000000e+03
9.813835811317378477e-01,1.682000000000000000e+03
9.817429949286181623e-01,1.743000000000000000e+03
