# D_lambda, wavelength
7.110729741797716997e+03,4.320000000000000000e+02
7.277471798497470445e+03,4.870000000000000000e+02
7.399149323007225576e+03,5.215000000000000000e+02
7.523084106058952784e+03,5.560000000000000000e+02
7.548248606916497010e+03,5.635000000000000000e+02
7.617999726393653873e+03,5.884000000000000909e+02
7.688547147890467386e+03,6.140000000000000000e+02
7.751100601883220406e+03,6.390000000000000000e+02
7.828639220766597646e+03,6.646000000000000227e+02
7.847245790614243560e+03,6.895000000000000000e+02
7.893976107465894529e+03,7.150000000000000000e+02
7.940830654451724513e+03,7.400000000000000000e+02
7.978669140153549051e+03,7.650000000000000000e+02
8.013508600184238276e+03,7.905000000000000000e+02
8.042913316934296745e+03,8.160000000000000000e+02
8.080941125646834735e+03,8.413000000000000682e+02
8.118558596566183041e+03,8.660000000000000000e+02
8.145928093868048563e+03,8.915999999999999091e+02
8.157841026009915367e+03,9.170000000000000000e+02
8.172957043865447304e+03,9.423999999999999773e+02
8.200812159129822248e+03,9.673000000000000682e+02
8.203827439984157536e+03,9.927000000000000455e+02
8.233578773533256026e+03,1.018000000000000000e+03
8.258670039405391435e+03,1.060000000000000000e+03
8.293986882401350158e+03,1.098000000000000000e+03
8.304975911560763052e+03,1.138000000000000000e+03
8.329436199781881442e+03,1.179000000000000000e+03
8.348798119922617843e+03,1.222000000000000000e+03
8.384518181475119491e+03,1.266000000000000000e+03
8.396230363661215961e+03,1.312000000000000000e+03
8.425907790088893307e+03,1.358000000000000000e+03
8.449390490857244004e+03,1.408000000000000000e+03
8.481010625518203597e+03,1.459000000000000000e+03
8.512652579591995163e+03,1.512000000000000000e+03
8.540554505274356416e+03,1.566000000000000000e+03
8.567150619176345572e+03,1.623000000000000000e+03
8.571414085115970011e+03,1.682000000000000000e+03
8.595222062206530609e+03,1.743000000000000000e+03
