# epsilon_R, wavelength
1.079411279235431342e+00,4.320000000000000000e+02
1.076981798910205290e+00,4.870000000000000000e+02
1.075437316096133467e+00,5.215000000000000000e+02
1.073900087102913403e+00,5.560000000000000000e+02
1.073568341193933406e+00,5.635000000000000000e+02
1.072475867737966215e+00,5.884000000000000909e+02
1.071370034998172072e+00,6.140000000000000000e+02
1.070310309754536116e+00,6.390000000000000000e+02
1.069248391486893768e+00,6.646000000000000227e+02
1.068239923726661322e+00,6.895000000000000000e+02
1.067233481967342579e+00,7.150000000000000000e+02
1.066273540030756362e+00,7.400000000000000000e+02
1.065340639357301278e+00,7.650000000000000000e+02
1.064417191696712894e+00,7.905000000000000000e+02
1.063522138809250839e+00,8.160000000000000000e+02
1.062661970450065718e+00,8.413000000000000682e+02
1.061848635934659502e+00,8.660000000000000000e+02
1.061032746228439683e+00,8.915999999999999091e+02
1.060249890252613181e+00,9.170000000000000000e+02
1.059492928512354437e+00,9.423999999999999773e+02
1.058775314178725724e+00,9.673000000000000682e+02
1.058067488301378312e+00,9.927000000000000455e+02
1.057385978929891834e+00,1.018000000000000000e+03
1.056304365609125329e+00,1.060000000000000000e+03
1.055376686501381611e+00,1.098000000000000000e+03
1.054449467133146578e+00,1.138000000000000000e+03
1.053548469464417492e+00,1.179000000000000000e+03
1.052653920473602067e+00,1.222000000000000000e+03
1.051788515075133601e+00,1.266000000000000000e+03
1.050934118513780824e+00,1.312000000000000000e+03
1.050127593961642791e+00,1.358000000000000000e+03
1.049301281476442194e+00,1.408000000000000000e+03
1.048508414854426363e+00,1.459000000000000000e+03
1.047733757169594382e+00,1.512000000000000000e+03
1.046992066285792111e+00,1.566000000000000000e+03
1.046257039444761450e+00,1.623000000000000000e+03
1.045543703423494897e+00,1.682000000000000000e+03
1.044852651499138974e+00,1.743000000000000000e+03
