# D_lambda, wavelength
7.400295291317249394e+03,4.320000000000000000e+02
7.487911525441370941e+03,4.870000000000000000e+02
7.505886818827911156e+03,5.215000000000000000e+02
7.528789228969822943e+03,5.560000000000000000e+02
7.532490231975552888e+03,5.635000000000000000e+02
7.546921193350653084e+03,5.884000000000000909e+02
7.554215020655230546e+03,6.140000000000000000e+02
7.562396090487144647e+03,6.390000000000000000e+02
7.567433343905638139e+03,6.646000000000000227e+02
7.575828120684691385e+03,6.895000000000000000e+02
7.580001132183600021e+03,7.150000000000000000e+02
7.583521110925194989e+03,7.400000000000000000e+02
7.587790137844718629e+03,7.650000000000000000e+02
7.592321477527752904e+03,7.905000000000000000e+02
7.596745902310742167e+03,8.160000000000000000e+02
7.596767347171296024e+03,8.413000000000000682e+02
7.597294736549908521e+03,8.660000000000000000e+02
7.600413409665662584e+03,8.915999999999999091e+02
7.605663262497341748e+03,9.170000000000000000e+02
7.608550779557909664e+03,9.423999999999999773e+02
7.610194879978826975e+03,9.673000000000000682e+02
7.617748531157597426e+03,9.927000000000000455e+02
7.618843579001221769e+03,1.018000000000000000e+03
7.620554358437670089e+03,1.060000000000000000e+03
7.623391946459001701e+03,1.098000000000000000e+03
7.628025571908891834e+03,1.138000000000000000e+03
7.631923508602866605e+03,1.179000000000000000e+03
7.636272971428214987e+03,1.222000000000000000e+03
7.638865783513803763e+03,1.266000000000000000e+03
7.642357060099413502e+03,1.312000000000000000e+03
7.641805413811209291e+03,1.358000000000000000e+03
7.641608743046202108e+03,1.408000000000000000e+03
7.641365322938909230e+03,1.459000000000000000e+03
7.632509132606491221e+03,1.512000000000000000e+03
7.627861045200301305e+03,1.566000000000000000e+03
7.625569233942530445e+03,1.623000000000000000e+03
7.631365841852866652e+03,1.682000000000000000e+03
7.622552708532403813e+03,1.743000000000000000e+03
