# D_lambda, wavelength
6.959613311784962207e+03,4.320000000000000000e+02
7.139925733350094561e+03,4.870000000000000000e+02
7.268357834863015341e+03,5.215000000000000000e+02
7.397975892290853153e+03,5.560000000000000000e+02
7.424308018484260174e+03,5.635000000000000000e+02
7.497907385831781539e+03,5.884000000000000909e+02
7.572093740727980730e+03,6.140000000000000000e+02
7.637957491699931779e+03,6.390000000000000000e+02
7.718375915276243177e+03,6.646000000000000227e+02
7.740388449316792503e+03,6.895000000000000000e+02
7.789929572914355958e+03,7.150000000000000000e+02
7.839297472050810029e+03,7.400000000000000000e+02
7.879570384880629717e+03,7.650000000000000000e+02
7.916749687324698243e+03,7.905000000000000000e+02
7.948390646384639695e+03,8.160000000000000000e+02
7.988381838203495136e+03,8.413000000000000682e+02
8.027768124616474779e+03,8.660000000000000000e+02
8.056971360101972095e+03,8.915999999999999091e+02
8.070756125391431851e+03,9.170000000000000000e+02
8.087593820893191150e+03,9.423999999999999773e+02
8.116884296559878749e+03,9.673000000000000682e+02
8.121535359124299248e+03,9.927000000000000455e+02
8.152551922612771705e+03,1.018000000000000000e+03
8.179832456834512413e+03,1.060000000000000000e+03
8.216818882472498444e+03,1.098000000000000000e+03
8.229674127765207231e+03,1.138000000000000000e+03
8.255762180675696072e+03,1.179000000000000000e+03
8.276742444836227151e+03,1.222000000000000000e+03
8.313839585568861366e+03,1.266000000000000000e+03
8.327095929660965339e+03,1.312000000000000000e+03
8.358035241993855379e+03,1.358000000000000000e+03
8.382850319124112502e+03,1.408000000000000000e+03
8.415652502696713782e+03,1.459000000000000000e+03
8.448443771238544286e+03,1.512000000000000000e+03
8.477426944427657872e+03,1.566000000000000000e+03
8.505204194512616596e+03,1.623000000000000000e+03
8.510615699314883386e+03,1.682000000000000000e+03
8.535410839106138155e+03,1.743000000000000000e+03
