# D_lambda, wavelength
5.867075429138668369e+03,4.320000000000000000e+02
6.017893553770470135e+03,4.870000000000000000e+02
6.194576260425854343e+03,5.215000000000000000e+02
6.349019935977806199e+03,5.560000000000000000e+02
6.382313574711417459e+03,5.635000000000000000e+02
6.469321273014694270e+03,5.884000000000000909e+02
6.571284322242409871e+03,6.140000000000000000e+02
6.657141640831753648e+03,6.390000000000000000e+02
6.763839769809543213e+03,6.646000000000000227e+02
6.794680530320729304e+03,6.895000000000000000e+02
6.864435572962457627e+03,7.150000000000000000e+02
6.932517970966167923e+03,7.400000000000000000e+02
6.986470207242523429e+03,7.650000000000000000e+02
7.036036107671339778e+03,7.905000000000000000e+02
7.078409965780018865e+03,8.160000000000000000e+02
7.138437442007705613e+03,8.413000000000000682e+02
7.195057144949279063e+03,8.660000000000000000e+02
7.232624033862933175e+03,8.915999999999999091e+02
7.248791401780807064e+03,9.170000000000000000e+02
7.271567602533668833e+03,9.423999999999999773e+02
7.310118649812347030e+03,9.673000000000000682e+02
7.309294393513465366e+03,9.927000000000000455e+02
7.350962082404710600e+03,1.018000000000000000e+03
7.390160633879761008e+03,1.060000000000000000e+03
7.436604431409144127e+03,1.098000000000000000e+03
7.450613382555704447e+03,1.138000000000000000e+03
7.481392885274162836e+03,1.179000000000000000e+03
7.502406114208160034e+03,1.222000000000000000e+03
7.547567280997813214e+03,1.266000000000000000e+03
7.562671893575956346e+03,1.312000000000000000e+03
7.602678361257609140e+03,1.358000000000000000e+03
7.638033662176968392e+03,1.408000000000000000e+03
7.682313008061769324e+03,1.459000000000000000e+03
7.735588122167014262e+03,1.512000000000000000e+03
7.785314169898582804e+03,1.566000000000000000e+03
7.836073920768238168e+03,1.623000000000000000e+03
7.835844525238000642e+03,1.682000000000000000e+03
7.886509047753786945e+03,1.743000000000000000e+03
