# epsilon_R, wavelength
9.923746853263234469e-01,4.320000000000000000e+02
9.932408788926377907e-01,4.870000000000000000e+02
9.936835373667309845e-01,5.215000000000000000e+02
9.940663109484334514e-01,5.560000000000000000e+02
9.941427056178736565e-01,5.635000000000000000e+02
9.943809266060062990e-01,5.884000000000000909e+02
9.946035679930224083e-01,6.140000000000000000e+02
9.948018688313544633e-01,6.390000000000000000e+02
9.949876884756737594e-01,6.646000000000000227e+02
9.951536095294699624e-01,6.895000000000000000e+02
9.953100756639743363e-01,7.150000000000000000e+02
9.954516788292249174e-01,7.400000000000000000e+02
9.955828240424250408e-01,7.650000000000000000e+02
9.957069117095723731e-01,7.905000000000000000e+02
9.958221938409541618e-01,8.160000000000000000e+02
9.959287137652403921e-01,8.413000000000000682e+02
9.960258630016293191e-01,8.660000000000000000e+02
9.961200667397641650e-01,8.915999999999999091e+02
9.962075913959667073e-01,9.170000000000000000e+02
9.962897153639446168e-01,9.423999999999999773e+02
9.963654252902039987e-01,9.673000000000000682e+02
9.964381672575053361e-01,9.927000000000000455e+02
9.965064810963841779e-01,1.018000000000000000e+03
9.966116306506979106e-01,1.060000000000000000e+03
9.966988155969325192e-01,1.098000000000000000e+03
9.967833707664178755e-01,1.138000000000000000e+03
9.968632063309330604e-01,1.179000000000000000e+03
9.969403320032618199e-01,1.222000000000000000e+03
9.970130300714280525e-01,1.266000000000000000e+03
9.970830551013871723e-01,1.312000000000000000e+03
9.971476441456047501e-01,1.358000000000000000e+03
9.972123697948971355e-01,1.408000000000000000e+03
9.972731632266553792e-01,1.459000000000000000e+03
9.973313765747696680e-01,1.512000000000000000e+03
9.973860644012528809e-01,1.566000000000000000e+03
9.974392922840181752e-01,1.623000000000000000e+03
9.974900652142750790e-01,1.682000000000000000e+03
9.975384544182288593e-01,1.743000000000000000e+03
