# epsilon_R, wavelength
1.086385061551185638e+00,4.320000000000000000e+02
1.085943294644848622e+00,4.870000000000000000e+02
1.085593630819557953e+00,5.215000000000000000e+02
1.085191158468365336e+00,5.560000000000000000e+02
1.085097064620950125e+00,5.635000000000000000e+02
1.084768797583103295e+00,5.884000000000000909e+02
1.084407427194144180e+00,6.140000000000000000e+02
1.084033256328839956e+00,6.390000000000000000e+02
1.083630552644905265e+00,6.646000000000000227e+02
1.083222032909311405e+00,6.895000000000000000e+02
1.082788652090715509e+00,7.150000000000000000e+02
1.082351077599718270e+00,7.400000000000000000e+02
1.081902891800568201e+00,7.650000000000000000e+02
1.081436714543094535e+00,7.905000000000000000e+02
1.080963232864621926e+00,8.160000000000000000e+02
1.080487915623176365e+00,8.413000000000000682e+02
1.080020001233647164e+00,8.660000000000000000e+02
1.079532400016362192e+00,8.915999999999999091e+02
1.079047234613892625e+00,9.170000000000000000e+02
1.078561863223441053e+00,9.423999999999999773e+02
1.078086850176820821e+00,9.673000000000000682e+02
1.077604032965070235e+00,9.927000000000000455e+02
1.077125671765176929e+00,1.018000000000000000e+03
1.076339086864624761e+00,1.060000000000000000e+03
1.075637473512098374e+00,1.098000000000000000e+03
1.074911122610535230e+00,1.138000000000000000e+03
1.074181125426622918e+00,1.179000000000000000e+03
1.073432625452994227e+00,1.222000000000000000e+03
1.072685893214444297e+00,1.266000000000000000e+03
1.071926741453806731e+00,1.312000000000000000e+03
1.071190069192004435e+00,1.358000000000000000e+03
1.070415062481234303e+00,1.408000000000000000e+03
1.069652104739277965e+00,1.459000000000000000e+03
1.068888367447937027e+00,1.512000000000000000e+03
1.068140168752245378e+00,1.566000000000000000e+03
1.067382319990874517e+00,1.623000000000000000e+03
1.066631260948557314e+00,1.682000000000000000e+03
1.065889053327293556e+00,1.743000000000000000e+03
