phot,f=2%,f=4%,f=6%,f=8%,f=10%,epsilon(f=2%),epsilon(f=4%),epsilon(f=6%),epsilon(f=8%),epsilon(f=10%)
386.14638700118,396.49074522519,407.29325990752,418.59262614374,430.41401821353,442.79301547512,1.0186148902019,1.0379359540435,1.0580041525078,1.0788636769252,1.1005622737933
378.79521892925,388.45708357416,398.53259095179,409.0561829494,420.0495329304,431.54377797938,1.0182498965941,1.0371782932149,1.0568237447549,1.0772277836283,1.0984352128346
372.4852733461,381.57337042277,391.03683492925,400.90645694146,411.20081641266,421.94720056921,1.0178755656941,1.0364018347971,1.0556149961571,1.0755539728462,1.0962606853295
365.91745560866,374.46430981725,383.34981261878,392.60125975593,402.23430997666,412.27261597299,1.0175001935343,1.0356238106688,1.0544047686012,1.073879490327,1.0940871403741
361.25902766448,369.36796160625,377.78814347811,386.54437338281,395.65029419852,405.12700514306,1.017129936367,1.0348569704383,1.053212875481,1.0722317198123,1.0919500778013
360.08199993576,368.09051342201,376.40418095164,385.04726146227,394.03295953233,403.38181225863,1.017050147132,1.0346917944827,1.0529562656765,1.071877135802,1.0914904373724
357.68999558283,365.45199716487,373.50318149987,381.86632754811,390.55346500816,399.58360569647,1.0167876069438,1.034148485254,1.052112509522,1.0707116668332,1.0899802468227
354.55175464116,362.03688013881,369.79403066184,377.84445542111,386.19896702097,394.87502954816,1.0165221053475,1.0335993425909,1.0512601678665,1.0695350160201,1.0884564756103
351.96243908731,359.20871454853,366.71229635254,374.49313634663,382.56101408563,390.93208855856,1.0162678182186,1.0330736729544,1.0504447052833,1.0684099130113,1.0870003121846
349.09762169766,356.09431537098,363.33391240384,370.83509709568,378.60672220413,386.6637206601,1.0160130713413,1.0325473253427,1.0496286275669,1.0672845839419,1.0855446896135
347.52434025298,354.34646263366,361.40030671272,368.70357598329,376.26433382154,384.09651868432,1.0157711503383,1.0320477302659,1.0488544322411,1.0662175838087,1.0841652851918
345.23503322503,351.85172323116,358.68819792106,365.76115642639,373.07790713503,380.65138792187,1.0155296708108,1.0315492917538,1.0480824208005,1.0651541508332,1.0827912366971
343.31884701344,349.75398938364,356.39853106306,363.26831405253,370.36998383788,377.71564405198,1.0152992693933,1.0310739474971,1.0473465432539,1.0641410093635,1.0814828598995
341.56508325145,347.83128590687,354.29736854753,360.97836122106,367.88035814439,375.01470184387,1.0150752551081,1.0306119938493,1.0466317359901,1.0631573604396,1.0802132142462
340.25827697393,346.37839724316,352.68993979087,359.20723128102,365.93583478095,372.8864155963,1.0148533864405,1.0301546718917,1.0459244258425,1.0621844968956,1.0789581137403
338.74686140101,344.71747406739,350.87120208088,357.22169096364,363.77401968757,370.5381912521,1.0146382025601,1.0297113255377,1.0452390443009,1.061242239192,1.0777430891823
337.01199303382,342.82752557369,348.81814076193,354.99685478613,361.36830164313,367.94189792622,1.0144312629474,1.0292851475757,1.0445804945526,1.0603372813511,1.0765767092789
335.39282834016,341.06527941902,346.9054823193,352.92587280844,359.13069395554,365.52883418828,1.0142354510241,1.0288820510874,1.0439578734119,1.0594820662623,1.0754749340623
334.44069197242,339.99662532913,345.71414684847,351.60519748634,357.67368415363,363.92803696805,1.0140388786083,1.0284775501008,1.0433333388228,1.0586245847622,1.0743707190611
333.64840094385,339.09974482338,344.70694613731,350.48149924266,356.42700103189,362.55145692099,1.013850121295,1.0280892825757,1.0427341091045,1.0578021871299,1.0733121343168
332.9635450432,338.31793212447,343.82286689838,349.48941988355,355.32089816459,361.32492023433,1.0136674684135,1.0277137131407,1.0421547013694,1.0570073105432,1.0722893941424
332.07929920309,337.33157631266,342.72939786251,348.28340711068,353.99666679148,359.876445158,1.0134941801034,1.0273575276263,1.0416054019132,1.0562540263428,1.0713205499306
331.88552273378,337.06535987865,342.38641017714,347.85901542034,353.48599684404,359.2742916988,1.0133231290541,1.0270060633904,1.0410635778868,1.0555112676029,1.0703656054712
331.01466213359,336.09826876335,341.31846972063,346.68522454184,352.20113913115,357.87283945166,1.0131583171538,1.0266675341946,1.0405418772482,1.0547963519897,1.0694467977598
329.4586268876,334.38638805838,339.44335722147,344.63899027437,349.97551144034,355.45907412127,1.0128965015074,1.0261299884643,1.0397138438444,1.0536621687899,1.0679898314193
328.60914239685,333.42040861439,338.35536473659,343.42303850554,348.62536370028,353.96818578615,1.0126717065095,1.0256686789996,1.0390036040019,1.0526898365087,1.0667414445665
328.24172488211,332.95548451595,337.78789111838,342.74750258978,347.83608676481,353.05908305427,1.0124468014418,1.0252073538249,1.0382936718116,1.0517183914519,1.0654948108618
327.45905797527,332.06359307114,336.78161930661,341.62140769278,346.58447782987,351.67593650243,1.0122280467281,1.0247588457927,1.0376037818134,1.0507748174706,1.0642845306464
326.89274669107,331.39610771449,336.0081685414,340.73696206871,345.58377445593,350.55339690593,1.0120106564915,1.0243133320757,1.0369188077364,1.049838401773,1.0630840036775
326.15443146733,330.55361310441,335.05701568959,339.67232553822,344.40063826591,349.24646762324,1.0118001623495,1.0238821378153,1.0362561438414,1.0489328978497,1.0619236481813
325.60305516893,329.90753702644,334.31194082667,338.82358193182,343.4434074181,348.17558977196,1.0115921716139,1.0234562521406,1.0356019220475,1.0480393268534,1.0607791053758
324.83074675227,329.03787948657,333.34073946689,337.74649696927,342.2559284717,346.87300425928,1.0113956814882,1.0230540799408,1.0349843863372,1.0471962254445,1.0596996816969
323.39972826223,327.48897472956,331.66960596687,335.94833749928,340.32568654618,344.80559314165,1.0111942228761,1.0226419042872,1.0343517509658,1.0463328730601,1.058594807755
322.25219874182,326.23684149391,330.30886671814,334.47448487334,338.73453216493,343.09256337883,1.0110007850114,1.0222462967627,1.0337447934954,1.0455049092491,1.0575356754669
320.55161361633,324.41970500585,328.37080373549,332.41137956586,336.54192166799,340.76531725724,1.0108116706226,1.0218596809269,1.0331518660028,1.0446964111483,1.0565018716398
318.80585710908,322.56090277172,326.39531727496,330.31495139768,334.32012305934,338.41403563906,1.0106305012239,1.0214894460417,1.0325842781115,1.0439227680453,1.055513031542
