# D_lambda, wavelength
4.095842696681950770e+02,4.176999999999999886e+02
4.033315351772426425e+02,4.521000000000000227e+02
3.979772346986987372e+02,4.868000000000000114e+02
3.922165371460506549e+02,5.215000000000000000e+02
3.880406427438920218e+02,5.560000000000000000e+02
3.869335963766484952e+02,5.635000000000000000e+02
3.848925880952647276e+02,5.884000000000000909e+02
3.820194414284605386e+02,6.140000000000000000e+02
3.796331443272071624e+02,6.390000000000000000e+02
3.768997957612763230e+02,6.646000000000000227e+02
3.755831259414366059e+02,6.895000000000000000e+02
3.734263727210862385e+02,7.150000000000000000e+02
3.716119138668094593e+02,7.400000000000000000e+02
3.699254085475222951e+02,7.650000000000000000e+02
3.688063551705589589e+02,7.905000000000000000e+02
3.673736720407605389e+02,8.160000000000000000e+02
3.655930484290914819e+02,8.413000000000000682e+02
3.639954556181601788e+02,8.660000000000000000e+02
3.630268652116130852e+02,8.915999999999999091e+02
3.623562126073842364e+02,9.170000000000000000e+02
3.616993908113208818e+02,9.423999999999999773e+02
3.609215110219610096e+02,9.673000000000000682e+02
3.608178722726007663e+02,9.927000000000000455e+02
3.599315661286794921e+02,1.018000000000000000e+03
3.583640958724209895e+02,1.060000000000000000e+03
3.575086274998362796e+02,1.098000000000000000e+03
3.571892791758290855e+02,1.138000000000000000e+03
3.568270988082433632e+02,1.179000000000000000e+03
3.557166180507831541e+02,1.222000000000000000e+03
3.557814040776596585e+02,1.266000000000000000e+03
3.552796676885572538e+02,1.312000000000000000e+03
3.533551507981513851e+02,1.358000000000000000e+03
3.525770953165530273e+02,1.408000000000000000e+03
3.521943654785087006e+02,1.459000000000000000e+03
3.490616953465419670e+02,1.512000000000000000e+03
3.461211221227333681e+02,1.566000000000000000e+03
3.443757646072187413e+02,1.623000000000000000e+03
3.466842979311657018e+02,1.682000000000000000e+03
3.446989524172882966e+02,1.743000000000000000e+03
