# epsilon_R, wavelength
8.829787327525555618e-01,4.176999999999999886e+02
8.922239312238064990e-01,4.521000000000000227e+02
9.001380007182514520e-01,4.868000000000000114e+02
9.069214005323652517e-01,5.215000000000000000e+02
9.127583643844288108e-01,5.560000000000000000e+02
9.139242178809569017e-01,5.635000000000000000e+02
9.175616906560536412e-01,5.884000000000000909e+02
9.209640721484061432e-01,6.140000000000000000e+02
9.239968018192021848e-01,6.390000000000000000e+02
9.268406395207393622e-01,6.646000000000000227e+02
9.293815552055904039e-01,6.895000000000000000e+02
9.317790389922041561e-01,7.150000000000000000e+02
9.339498786768335448e-01,7.400000000000000000e+02
9.359612751293586719e-01,7.650000000000000000e+02
9.378651574332454999e-01,7.905000000000000000e+02
9.396345169801502140e-01,8.160000000000000000e+02
9.412698380275839050e-01,8.413000000000000682e+02
9.427616215261910293e-01,8.660000000000000000e+02
9.442084216328909818e-01,8.915999999999999091e+02
9.455528145810143670e-01,9.170000000000000000e+02
9.468143591790163516e-01,9.423999999999999773e+02
9.479774279601810294e-01,9.673000000000000682e+02
9.490949142169715635e-01,9.927000000000000455e+02
9.501443510090905598e-01,1.018000000000000000e+03
9.517595342251312651e-01,1.060000000000000000e+03
9.530985664660207579e-01,1.098000000000000000e+03
9.543969480072975742e-01,1.138000000000000000e+03
9.556225414272691010e-01,1.179000000000000000e+03
9.568061635763435158e-01,1.222000000000000000e+03
9.579214298947326123e-01,1.266000000000000000e+03
9.589952451739708339e-01,1.312000000000000000e+03
9.599852523048691966e-01,1.358000000000000000e+03
9.609768586043671013e-01,1.408000000000000000e+03
9.619077130956110722e-01,1.459000000000000000e+03
9.627985440280295570e-01,1.512000000000000000e+03
9.636349130252359618e-01,1.566000000000000000e+03
9.644484314374269784e-01,1.623000000000000000e+03
9.652239043760580950e-01,1.682000000000000000e+03
9.659624522467493701e-01,1.743000000000000000e+03
