# epsilon_R, wavelength
9.188191949402852998e-01,4.176999999999999886e+02
9.254718366633599702e-01,4.521000000000000227e+02
9.311329328073240097e-01,4.868000000000000114e+02
9.359607043722690811e-01,5.215000000000000000e+02
9.400968946258549952e-01,5.560000000000000000e+02
9.409210564977296132e-01,5.635000000000000000e+02
9.434882151023795682e-01,5.884000000000000909e+02
9.458836699806020265e-01,6.140000000000000000e+02
9.480141714700157651e-01,6.390000000000000000e+02
9.500079645667075523e-01,6.646000000000000227e+02
9.517861067508129880e-01,6.895000000000000000e+02
9.534610486667189910e-01,7.150000000000000000e+02
9.549752899303418641e-01,7.400000000000000000e+02
9.563763150330926166e-01,7.650000000000000000e+02
9.577006845194756535e-01,7.905000000000000000e+02
9.589299399832450499e-01,8.160000000000000000e+02
9.600647576002067085e-01,8.413000000000000682e+02
9.610988684539636395e-01,8.660000000000000000e+02
9.621007956113607484e-01,8.915999999999999091e+02
9.630309223114504880e-01,9.170000000000000000e+02
9.639029580161261324e-01,9.423999999999999773e+02
9.647062616243874400e-01,9.673000000000000682e+02
9.654774856260979199e-01,9.927000000000000455e+02
9.662012138668018002e-01,1.018000000000000000e+03
9.673140950571825769e-01,1.060000000000000000e+03
9.682357818553233297e-01,1.098000000000000000e+03
9.691286900201673271e-01,1.138000000000000000e+03
9.699708214085408509e-01,1.179000000000000000e+03
9.707834507681002423e-01,1.222000000000000000e+03
9.715485545491552299e-01,1.266000000000000000e+03
9.722846767713421157e-01,1.312000000000000000e+03
9.729628736062299055e-01,1.358000000000000000e+03
9.736417113276418789e-01,1.408000000000000000e+03
9.742785457251285086e-01,1.459000000000000000e+03
9.748876236982391141e-01,1.512000000000000000e+03
9.754591317473426670e-01,1.566000000000000000e+03
9.760147161370358315e-01,1.623000000000000000e+03
9.765440339445397022e-01,1.682000000000000000e+03
9.770478903214253608e-01,1.743000000000000000e+03
