# D_lambda, wavelength
3.836001107296871169e+02,4.176999999999999886e+02
3.797163478136411641e+02,4.521000000000000227e+02
3.764063550092400305e+02,4.868000000000000114e+02
3.724874933523914251e+02,5.215000000000000000e+02
3.697551055249492720e+02,5.560000000000000000e+02
3.689504627465423141e+02,5.635000000000000000e+02
3.677774112277321024e+02,5.884000000000000909e+02
3.657630575392145715e+02,6.140000000000000000e+02
3.641243012367789902e+02,6.390000000000000000e+02
3.620994579813796577e+02,6.646000000000000227e+02
3.613686575131280847e+02,6.895000000000000000e+02
3.597965151345139247e+02,7.150000000000000000e+02
3.584973208393682285e+02,7.400000000000000000e+02
3.572824542792396869e+02,7.650000000000000000e+02
3.565899860185073180e+02,7.905000000000000000e+02
3.555672276113197654e+02,8.160000000000000000e+02
3.541752715586765703e+02,8.413000000000000682e+02
3.529285712133844868e+02,8.660000000000000000e+02
3.522741699029108418e+02,8.915999999999999091e+02
3.518885932979331983e+02,9.170000000000000000e+02
3.514998865812302142e+02,9.423999999999999773e+02
3.509715601338614306e+02,9.673000000000000682e+02
3.510876618254554842e+02,9.927000000000000455e+02
3.504306533654855116e+02,1.018000000000000000e+03
3.492221346020896249e+02,1.060000000000000000e+03
3.486460512529543507e+02,1.098000000000000000e+03
3.485820830793073810e+02,1.138000000000000000e+03
3.484644252111923493e+02,1.179000000000000000e+03
3.476029754674314631e+02,1.222000000000000000e+03
3.478773942713342535e+02,1.266000000000000000e+03
3.475913726608270622e+02,1.312000000000000000e+03
3.458935291155152072e+02,1.358000000000000000e+03
3.453232350597579057e+02,1.408000000000000000e+03
3.451226688200304125e+02,1.459000000000000000e+03
3.422281629124057645e+02,1.512000000000000000e+03
3.395070381837506375e+02,1.566000000000000000e+03
3.379555122062782857e+02,1.623000000000000000e+03
3.403562829765727429e+02,1.682000000000000000e+03
3.385486985778562712e+02,1.743000000000000000e+03
