9.576923113580582125e-01,4.176999999999999886e+02
9.612935583281293495e-01,4.521000000000000227e+02
9.643385154782881941e-01,4.868000000000000114e+02
9.669211800202859308e-01,5.215000000000000000e+02
9.691236527721482918e-01,5.560000000000000000e+02
9.695613877213149490e-01,5.635000000000000000e+02
9.709224967465813760e-01,5.884000000000000909e+02
9.721893292727321612e-01,6.140000000000000000e+02
9.733134238490910306e-01,6.390000000000000000e+02
9.743631634630780525e-01,6.646000000000000227e+02
9.752975527992410187e-01,6.895000000000000000e+02
9.761761559745226746e-01,7.150000000000000000e+02
9.769691666684634512e-01,7.400000000000000000e+02
9.777017925274926746e-01,7.650000000000000000e+02
9.783933694180084739e-01,7.905000000000000000e+02
9.790344416211709255e-01,8.160000000000000000e+02
9.796255494901670025e-01,8.413000000000000682e+02
9.801636051237415659e-01,8.660000000000000000e+02
9.806843743841250349e-01,8.915999999999999091e+02
9.811673482733430651e-01,9.170000000000000000e+02
9.816197425455593928e-01,9.423999999999999773e+02
9.820361246538541478e-01,9.673000000000000682e+02
9.824355584704624889e-01,9.927000000000000455e+02
9.828101081950162410e-01,1.018000000000000000e+03
9.833855178362520544e-01,1.060000000000000000e+03
9.838615787612933206e-01,1.098000000000000000e+03
9.843223502169802241e-01,1.138000000000000000e+03
9.847565363582451159e-01,1.179000000000000000e+03
9.851751600509366380e-01,1.222000000000000000e+03
9.855689856660158066e-01,1.266000000000000000e+03
9.859476050516052803e-01,1.312000000000000000e+03
9.862961808580051892e-01,1.358000000000000000e+03
9.866448461637815637e-01,1.408000000000000000e+03
9.869717197046152801e-01,1.459000000000000000e+03
9.872841492344084369e-01,1.512000000000000000e+03
9.875771318888533212e-01,1.566000000000000000e+03
9.878617888484890752e-01,1.623000000000000000e+03
9.881328391107737641e-01,1.682000000000000000e+03
9.883907163853057343e-01,1.743000000000000000e+03
