# D_lambda, wavelength
3.981730506130709273e+02,4.176999999999999886e+02
3.928019426105988714e+02,4.521000000000000227e+02
3.882741297458469489e+02,4.868000000000000114e+02
3.833036609385276279e+02,5.215000000000000000e+02
3.797227892649024170e+02,5.560000000000000000e+02
3.787407569036948871e+02,5.635000000000000000e+02
3.770769947037955490e+02,5.884000000000000909e+02
3.745758795687947895e+02,6.140000000000000000e+02
3.725171091937262418e+02,6.390000000000000000e+02
3.700874159531242071e+02,6.646000000000000227e+02
3.690382514067724742e+02,6.895000000000000000e+02
3.671398462494756814e+02,7.150000000000000000e+02
3.655536976054918341e+02,7.400000000000000000e+02
3.640762856442769362e+02,7.650000000000000000e+02
3.631504322111345004e+02,7.905000000000000000e+02
3.619026959363891365e+02,8.160000000000000000e+02
3.602930430570694398e+02,8.413000000000000682e+02
3.588507820273534321e+02,8.660000000000000000e+02
3.580233660628318262e+02,8.915999999999999091e+02
3.574832663142402112e+02,9.170000000000000000e+02
3.569504137055367892e+02,9.423999999999999773e+02
3.562839231341374671e+02,9.673000000000000682e+02
3.562845572947504138e+02,9.927000000000000455e+02
3.555007571313107064e+02,1.018000000000000000e+03
3.540949639384560896e+02,1.060000000000000000e+03
3.533660759760248880e+02,1.098000000000000000e+03
3.531658358497668928e+02,1.138000000000000000e+03
3.529150508746470223e+02,1.179000000000000000e+03
3.519180372286712100e+02,1.222000000000000000e+03
3.520773258580689458e+02,1.266000000000000000e+03
3.516742853907350650e+02,1.312000000000000000e+03
3.498533513262014480e+02,1.358000000000000000e+03
3.491688359029687945e+02,1.408000000000000000e+03
3.488654651081502038e+02,1.459000000000000000e+03
3.458369458093635558e+02,1.512000000000000000e+03
3.429955514114846551e+02,1.566000000000000000e+03
3.413428477462288129e+02,1.623000000000000000e+03
3.436875310789400260e+02,1.682000000000000000e+03
3.417851252598413794e+02,1.743000000000000000e+03
