phot,f=2%,f=4%,f=6%,f=8%,f=10%,epsilon(f=2%),epsilon(f=4%),epsilon(f=6%),epsilon(f=8%),epsilon(f=10%)
808.35576137495,820.90199205931,833.77952659291,847.01238542151,860.6062649823,874.57679230463,1.0129856238166,1.0263129375558,1.0399956072996,1.0540480377642,1.068485422865
811.5521788139,823.89146353867,836.55009726602,849.55121681862,862.8999184912,876.61098888669,1.0127793556489,1.025889563248,1.0393436397034,1.0531552938479,1.067338973014
814.04005776953,826.18395081147,838.63605611945,851.41871165639,864.53641144879,878.00322230291,1.0125818314668,1.0254843021419,1.0387198271063,1.0523014707771,1.0662429899016
816.26623774256,828.21953187795,840.4706382249,853.04109795059,865.93492919917,879.16547668931,1.0123911789018,1.0250932933036,1.0381181954922,1.0514783478993,1.0651868628557
818.91810484191,830.69067029529,842.75121481381,855.12056736159,867.80229877714,880.80910014166,1.012210722494,1.0247233347814,1.0375491725609,1.0507001462616,1.0641887779148
820.35589132223,831.95499975552,843.83272473965,856.00921687679,868.4876369579,881.28007949506,1.0120329830091,1.0243590784079,1.036989128155,1.0499345156058,1.0632071997134
822.49478848861,833.92198113441,845.61905586267,857.60556421111,869.88424201517,882.46667349223,1.0118620778555,1.0240089517791,1.0364510028602,1.0491991229373,1.062264746381
825.66359915859,836.85224665075,848.29869118597,860.02162149834,872.02327468039,884.31447579784,1.0116226865891,1.0235187239482,1.0356978701051,1.0481703531434,1.0609468998329
828.1119404614,839.12516902485,850.38781400126,861.91798400792,873.71758392885,885.79692229795,1.0114494767754,1.0231641712034,1.0351534065755,1.047426948367,1.0599950307472
828.42456318566,839.27114831739,850.35892554508,861.70542854103,873.31219768083,885.18905791202,1.01127695511,1.0228111505529,1.0346114897878,1.0466872919602,1.0590483164298
830.20952090263,840.87776029285,851.77905500566,862.9303757135,874.33290400751,885.99600957895,1.0110999170673,1.0224490163665,1.0340557839818,1.0459290957638,1.0580782399485
831.44780195599,841.94975307472,852.67695082614,863.64587927867,874.85740453852,886.32047381854,1.0109301429628,1.0221018624537,1.033523256893,1.04520279078,1.057149315597
832.51919756155,842.86213837637,853.42304908287,864.21788147961,875.24729422961,886.5197746053,1.010767276162,1.0217689445736,1.0330127431543,1.0445067542211,1.056259423847
832.83852030891,843.02360580224,853.41973769915,864.04232215964,874.89183374034,885.97632637,1.0106060394455,1.0214394667323,1.0325076736987,1.043818376089,1.0553796314746
833.65728754592,843.68156868497,853.90999899604,864.35749091029,875.02420714103,885.91788072412,1.0104419927497,1.0211043570539,1.0319941435007,1.0431187066976,1.0544857218204
834.91454580675,844.77842651109,854.8397929049,865.11314686533,875.59849904173,886.30313967841,1.0102805223319,1.0207746186053,1.0314890140421,1.0424307192274,1.0536070453912
835.49565845631,845.21139356641,855.11822388284,865.23044157771,875.54771024601,886.0770411222,1.0101261456983,1.0204594669507,1.0310063875119,1.0417735994871,1.0527680774767
836.91615614601,846.48206352966,856.23325683615,866.18347522815,876.33226270134,886.68629693101,1.0099743435584,1.0201496668271,1.0305321061291,1.0411280501698,1.0519441531308
838.89176740437,848.31051749534,857.90910180161,867.7005273936,877.68445159986,887.86725135281,1.0098252858446,1.0198455599995,1.0300666851064,1.0404947612199,1.0511361379335
841.08265763116,850.35785853182,859.80732718471,869.44405586209,879.26734376387,889.2833314802,1.0096791172632,1.0195474364665,1.0296105599751,1.0398743135512,1.0503447575864
844.9697083579,854.09630443389,863.39200731589,872.86912235829,882.52723929039,892.37196974234,1.0095323754898,1.0192482323684,1.0291529196436,1.0392519962895,1.0495512416353
848.69917145125,857.68784920426,866.84052946584,876.16955739855,885.67397747907,895.35956543274,1.0093924913963,1.0189630934952,1.0287169210776,1.0386592866649,1.0487957101534
854.58570684471,863.43057264338,872.4344669413,881.60954828354,890.95517065163,900.4763411854,1.0092557867564,1.0186845133945,1.0282910725589,1.0380805432156,1.0480581995919
860.24152938358,868.94403423954,877.8007222825,886.82318662059,896.01056647759,905.36830852117,1.009119219534,1.0184062900778,1.0278658889392,1.0375028688451,1.0473222662283
862.77943040391,871.35319025922,880.07691944603,888.96099694058,898.00496801418,907.21402116423,1.0089891774439,1.0181414314439,1.0274612402746,1.0369532477043,1.046622270696
863.86424675677,872.31081551931,880.90194359547,889.64870982411,898.55058475607,907.61142318707,1.0088596218945,1.0178776328662,1.0270583186475,1.0364061210044,1.0459256448881
865.17660398011,873.49484085808,881.95334091679,890.56305052571,899.3221082535,908.23566975773,1.008730974316,1.0176157513136,1.0266584311218,1.0358632609195,1.0452346415743
869.68823216982,877.24968536473,884.92552224573,892.72325909806,900.6423275888,908.68704355751,1.0079526640404,1.0160328318144,1.0242435944622,1.0325881438644,1.0410697767669
879.07863298664,885.53642159583,892.08475962022,898.70345913512,905.42035194796,912.22786338929,1.0068246654231,1.0137431230702,1.0207573198095,1.0278692567712,1.0350809912419
880.39084582181,886.75090434365,893.17259303834,899.68292552667,906.28812126148,912.970388805,1.0067131020322,1.0135169447004,1.0204133803208,1.0274043119754,1.0344916952534
881.67409789197,887.91742010907,894.24705332364,900.66318220627,907.13700462841,913.70477704666,1.0066087223921,1.0133053763298,1.0200917285028,1.0269695932523,1.0339408341785
882.63701627145,888.78850462593,895.02364064198,901.34470159975,907.71333412609,914.17281184503,1.0065131580905,1.0131117148598,1.0197973609692,1.026571832009,1.0334369099902
883.74786637713,889.82813269656,895.97529636998,902.17418571059,908.45874280132,914.83167496453,1.0064246741106,1.0129324349077,1.0195249046443,1.0262037480867,1.032970673907
