tanslat=0,tanslat=10,tanslat=20,tanslat=30,tanslat=40,tanslat=60
1.1019887777172,1.1106408698336,1.1201194138569,1.1189184610464,1.0106933149928,1.118918461047
1.0998668263891,1.1080592185391,1.1169968636065,1.1158723092171,1.0099615182602,1.1158723092164
1.0978438686238,1.105576611995,1.1139571221487,1.1129207309965,1.0092234685335,1.1129207309967
1.0964035141437,1.1038696519984,1.111939452714,1.1109457858247,1.0088271326833,1.1109457858246
1.0944127881567,1.1014692233554,1.1090462682054,1.1081323064523,1.008136493883,1.108132306453
1.0924712870702,1.0991270582234,1.1062127016185,1.1053830659128,1.0074589190078,1.1053830659111
1.0957796533098,1.1034043704703,1.1117265366795,1.1106484669861,1.0094874123528,1.1106484669865
1.0942427123963,1.1016609040818,1.1097792444315,1.1087149334679,1.0091474953028,1.108714933468
1.0922839706618,1.099248364943,1.106798257073,1.105835683125,1.0083822027555,1.1058356831252
1.09252698312,1.0997306368185,1.1076260624574,1.1065754894723,1.0089587323192,1.1065754894726
1.0899506314081,1.0965914087577,1.1037895232806,1.1028638837223,1.007949076535,1.1028638837226
1.0891497697479,1.0957210629161,1.102863707898,1.1019332587357,1.0078877701269,1.1019332587359
1.0877916600303,1.0941480688624,1.1010419140498,1.1001476792018,1.0075515326972,1.1001476792021
1.0862452732539,1.092322895002,1.0988765192117,1.0980412880399,1.0070811416091,1.0980412880398
1.0850723663773,1.0909988976096,1.0973886695327,1.0965722256409,1.0068531849754,1.0965722256405
1.0842713685285,1.0901348354944,1.0964735553261,1.0956523577978,1.0068187670014,1.0956523577987
1.083107113084,1.0888197034849,1.0949917029187,1.0941911198451,1.0065923847848,1.0941911198454
1.0820405774297,1.0876039826945,1.0936023125445,1.092827830741,1.0063646566319,1.0928278307419
1.0810677914599,1.0865140993487,1.0923832104589,1.0916243062901,1.0062094387843,1.0916243062839
1.080042702864,1.0853586119562,1.0910812657854,1.0903423506651,1.0060085347432,1.0903423506652
1.07833380993,1.0834447448302,1.0889380982741,1.0882293489319,1.0057118741851,1.0882293489317
1.0766398714421,1.0815554805191,1.0868306417466,1.0861504015264,1.0054370746354,1.0861504015264
1.0750398354747,1.0797696001145,1.0848324918326,1.0841827036174,1.0051702051466,1.0841827036177
1.073262238072,1.0777608558206,1.0825429237877,1.0819437835176,1.0047793928985,1.0819437835247
1.0722222322023,1.0766732601845,1.0814391749664,1.0808205040963,1.0048113808873,1.0808205040969
1.0708607325204,1.075177187061,1.0797967547133,1.0791950949624,1.00463684204,1.079195094962
1.0695532938467,1.073737906137,1.0782104179954,1.0776283890326,1.004452096509,1.0776283890333
1.0683187272833,1.0723837394142,1.0767247270273,1.0761591920172,1.0042867932063,1.0761591920171
1.0671700423926,1.0711312675168,1.0753607796304,1.0748076379142,1.0041632512973,1.0748076379131
1.0660412653811,1.0698985031932,1.0740130725232,1.0734740444064,1.0040322402465,1.0734740444059
1.0649028646792,1.0686471478421,1.0726302035819,1.0721121209411,1.0038680578654,1.0721121209417
1.0638576980517,1.0675002277743,1.0713637692323,1.0708647572353,1.0037203722619,1.0708647572343
1.0628605189503,1.0664206776976,1.0701982488861,1.0697081569707,1.0036149608548,1.069708156972
1.0620956477966,1.065617422628,1.0693737157152,1.0688730533327,1.0036349592986,1.0688730533323
1.0613380351439,1.0648229481067,1.0685612630485,1.068049445365,1.0036454918588,1.0680494453645
1.0604007514,1.0637961057687,1.0674301862064,1.0669362382674,1.0034953839808,1.0669362382681
1.0597507819776,1.0631167388225,1.0667367622404,1.0662317534476,1.0035342941544,1.0662317534463
1.0588844320088,1.0621676884417,1.0656901639575,1.0652027301344,1.0033989509829,1.0652027301343
1.0578541677044,1.0610718586561,1.0645389955307,1.0640488589288,1.0033527946683,1.0640488589331
1.0568061787798,1.059898340088,1.0631919342078,1.0627463126782,1.0030780055318,1.0627463126774
1.0562465322284,1.0593317804037,1.0626487053668,1.0621795200602,1.0031710459017,1.0621795200612
1.055473460326,1.0585050930419,1.0617741939916,1.0613054670721,1.0031237840051,1.0613054670716
1.0546861917471,1.0576537792501,1.0608491127328,1.0603935011817,1.0030327606897,1.0603935011815
1.054008102734,1.0569323160884,1.0600913981231,1.059632402493,1.0030017691833,1.0596324024949
1.0532782057525,1.0561468335599,1.0592452651498,1.0587934866009,1.0029258095005,1.0587934865999
1.0523674376161,1.0551372572142,1.058095779499,1.0576799197284,1.0027040185396,1.0576799197263
1.0517893342732,1.0545397022331,1.0574966488982,1.0570688248355,1.0027554999429,1.0570688248336
1.0510974539496,1.0538002893027,1.0567091009006,1.056288519187,1.0026914288382,1.0562885191866
1.0504002795722,1.0530496160104,1.0559042502018,1.0554884808769,1.0026093902229,1.0554884808776
1.049672238968,1.0522594180297,1.0550403055339,1.0546387059261,1.0024947863409,1.0546387059273
1.0490127529863,1.0515501412992,1.0542655871638,1.0538791236592,1.002423257029,1.0538791236604
1.048293755171,1.0507681201394,1.0534010971846,1.0530350098878,1.0023123437886,1.053035009884
1.0476438439434,1.0500733729715,1.0526464944768,1.0522932931181,1.0022252348424,1.0522932931186
1.0469755330305,1.0493519311898,1.0518661693825,1.0515242693101,1.0021179374684,1.0515242693088
1.0462889837254,1.0486103490896,1.0510563135885,1.0507265162753,1.001991709832,1.0507265162766
1.0457964067186,1.0480866838876,1.0505288202169,1.0501753328751,1.0019966098225,1.0501753328748
1.045172174642,1.0474169087766,1.0497957186647,1.0494643394484,1.001884628368,1.0494643394501
1.0445712000195,1.0467777268405,1.049083190134,1.0487810559214,1.0018051694652,1.0487810559216
